Sample_Name,Latitude,Longitude,DOC,DTN,MBC,MBN,NH4_N,NO3_N,VWC,A,soil T,Ph,clustering,average.degree,modularity
HS1_V0,32.0087521,117.6536944,18.787,5.305,68.618,5.113,1.901,1.401,44.8,44.8,13,NA,0,15,-0.066268911
HS1_V01,32.00911246,117.6536944,18.589,5.001,101.081,10.142,2.186,1.623,47.6,46.2,13.6,NA,0.026587888,110,-0.009380567
HS1_V06,29.98666667,114.6960104,18.47,5.385,131.713,12.241,2.172,2.05,42,44.8,14.4,NA,0.022172949,112,-0.009232801
HS1_V16,29.98666667,114.6960624,17.398,5.839,121.025,10.089,2.013,0.346,41.2,43.9,13.2,5.96,0.012345679,72,-0.014475342
HS1_V36,29.98666667,114.6961664,17.46,3.93,100.732,10.03,1.975,1.023,41.8,43.5,14.2,5.45,0.0202855,109,-0.009453821
HS1_V76,29.98666667,114.6963745,19.184,5.191,105.043,10.58,1.866,1.269,40.9,43,13.6,NA,0.020361991,108,-0.009519494
HS2_H01,29.98666667,114.6967906,34.358,7.418,243.899,26.332,3.768,0.573,47.6,47.6,13.5,4.45,0.025980642,136,-0.00756743
HS2_H06,29.98666667,114.696,33.505,6.55,287.549,26.533,2.97,0.608,48.7,47.7,12.8,4.14,0.023784355,136,-0.00757874
HS2_H16,29.98667568,114.696,31.57,6.341,299.426,14.738,2.247,0.592,47.6,47.7,13.1,4.48,0.025954198,137,-0.007513943
HS2_H36,29.98672072,114.696,39.545,6.485,303.218,19.268,3.443,4.237,45.9,47.5,14.4,4.97,0.025356577,136,-0.00757988
HS2_H76,29.98681081,114.696,21.811,8.12,276.235,19.765,2.933,4.131,47.9,47.6,14,4.53,0.025545503,135,-0.007631277
HS2_V0,29.98699099,114.696,35.242,6.542,198.837,18.065,3.047,0.415,47,47,13.8,4.15,0.025641026,128,-0.008033801
HS2_V01,29.98735135,114.696,35.432,6.437,155.045,11.811,3.192,0.652,46.2,46.6,13.6,4.23,0.024590164,137,-0.007522855
HS2_V16,30.02022778,114.6324354,37.126,7.699,324.499,24.86,3.891,0.447,49.8,48.1,15.4,4.22,0.02367531,133,-0.007740965
HS2_V36,30.02022778,114.6324874,32.522,6.855,163.736,14.143,3.12,0.324,42.9,47.1,14,4.31,0.023784355,136,-0.00757874
HS2_V76,30.02022778,114.6325914,35.098,6.419,178.419,14.609,3.826,0.399,50.1,47.6,15,4.63,0.024025627,133,-0.00774478
HS3_H01,30.02022778,114.6327995,27.479,8.812,304.145,23.379,3.834,3.117,26.5,30.9,14.4,5.14,0.023076923,131,-0.007865132
HS3_H06,30.02022778,114.6332156,28.376,7.856,366.797,30.285,3.875,3.041,30.4,30.9,14.2,5.05,0.025622776,120,-0.008565014
HS3_H16,30.02022778,114.632425,37.025,10.623,460.181,36.533,4.48,3.273,34,31.1,14.5,4.9,0.024305556,131,-0.007868818
HS3_H36,30.02023679,114.632425,20.824,6.917,231.364,20.699,3.793,0.728,32,31.2,14,4.4,0.018539326,122,-0.008450079
HS3_H76,30.02028183,114.632425,30.148,7.136,273.009,24.172,3.833,1.044,33.4,31.4,14.5,5.06,0.022914219,124,-0.008296212
HS3_V0,30.02037192,114.632425,27.887,9.773,246.268,19.38,3.443,3.078,32,30.5,15,5.33,0.023650697,128,-0.008046491
HS3_V01,30.0205521,114.632425,21.91,7.563,193.088,17.717,3.244,0.954,30.1,30.4,15,5.36,0.02284264,123,-0.008361012
HS3_V16,30.02091246,114.632425,22.851,6.534,186.848,15.105,3.524,1.053,32.6,30.4,15.5,5.44,0.017532468,118,-0.00872319
HS3_V36,30.030175,114.7767715,26.07,5.539,204.71,13.25,3.83,4.392,36.8,31.5,15.2,5.45,0.024263432,125,-0.008242132
HS3_V76,30.030175,114.7768235,24.682,9.004,378.002,31.014,3.717,4.017,48.7,35.3,14.4,5.46,0.023353293,123,-0.008397861
JR1_H01,30.030175,114.7769275,28.486,15.67,240.052,24.353,5.056,8.605,NA,NA,NA,5.27,0.025195969,130,-0.007918857
JR1_H06,30.030175,114.7771356,30.12,14.098,187.484,22.791,5.208,8.758,NA,NA,NA,5.12,0.025359256,105,-0.00976347
JR1_H16,30.030175,114.7775517,26.974,6.878,130.755,7.912,4.67,0.391,NA,NA,NA,4.84,0.023542601,132,-0.007793584
JR1_H36,30.030175,114.7767611,27.878,7.615,207.406,15.544,4.838,1.066,NA,NA,NA,4.95,0.025582717,126,-0.008162316
JR1_H76,30.03018401,114.7767611,27.978,12.007,269.81,29.838,4.828,5.72,NA,NA,NA,5.3,0.023693803,121,-0.008485654
JR1_V0,30.03022905,114.7767611,29.472,14.375,299.162,35.73,4.848,6.32,NA,NA,NA,5.1,0.022888283,129,-0.007971758
JR1_V01,30.03031914,114.7767611,32.161,14.036,298.037,23.743,3.913,6.399,NA,NA,NA,5.08,0.020594966,124,-0.008285479
JR1_V06,30.03049932,114.7767611,31.788,17.173,277.849,25.524,4.187,8.761,NA,NA,NA,5.05,0.025324675,121,-0.008503601
JR1_V16,30.03085968,114.7767611,26.055,8.026,188.48,14.722,4.23,1.959,NA,NA,NA,5.26,0.024536532,135,-0.007636205
JR1_V36,31.92727348,119.1372605,27.012,13.191,272.293,21.552,4.182,6.932,NA,NA,NA,4.6,0.027195467,130,-0.007919878
JR1_V76,31.92727348,119.1373125,26.599,15.591,297.417,25.095,4.382,8.376,NA,NA,NA,4.76,0.025609756,123,-0.008344041
JR2_H01,31.92727348,119.1374165,25.577,11.695,286.972,25.121,5.318,8.853,NA,NA,NA,5.29,0.025170425,136,-0.007574642
JR2_H06,31.92727348,119.1376246,27.446,15.748,354.912,38.525,4.94,3.388,NA,NA,NA,4.79,0.025966532,133,-0.007746649
JR2_H16,31.92727348,119.1380407,22.112,8.18,332.158,27.58,4.887,2.45,NA,NA,NA,4.59,0.025238362,131,-0.007855334
JR2_H36,31.92727348,119.1372501,29.079,9.128,310.932,28.284,4.9,15.291,NA,NA,NA,5.21,0.025927809,138,-0.007469278
JR2_H76,31.92728249,119.1372501,23.742,19.55,426.411,49.72,2.682,9.36,NA,NA,NA,5.29,0.025927809,138,-0.007469278
