ID,Domain,Phylum,Class,Order,Family,Genus
OTU_31726,Archaea,Euryarchaeota,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25780,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_24639,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24115,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_21908,Bacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified
OTU_23823,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_30142,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31912,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27999,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_14263,Bacteria,Armatimonadetes,Unclassified,Unclassified,Unclassified,Armatimonadetes_gp5
OTU_30760,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_21525,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22861,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25213,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24033,Bacteria,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30756,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30619,Bacteria,Verrucomicrobia,Subdivision3,Unclassified,Unclassified,Subdivision3_genera_incertae_sedis
OTU_20806,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
