sample,Latitude,Longitude,geographic distance X,geographic distance Y,DOC,DTN,MBC,MBN,NH4_N,NO3_N,VWC,A,soil T,Ph
XT1_V01,30.14549234,113.0959778,0,17606,36.198,10.013,340.283,17.706,5.439,1.287,52.3,53.5,17.7,6.5
XT1_V16,30.14562747,113.0959778,0,17621,36.978,9.793,305.474,21.471,5.729,0.601,54,53,16.7,6.68
XT1_V36,30.14580765,113.0959778,0,17641,36.972,9.995,376.897,32.109,6.883,2.362,55.4,53.5,16.2,6.82
XT1_V06,30.14553738,113.0959778,0,17611,33.436,9.017,462.219,44.075,5.191,0.771,50.9,52.7,16.3,6.74
XT1_V76,30.14616801,113.0959778,0,17681,38.403,11.75,678.753,55.142,5.797,2.338,52,53.2,17.2,6.8
XT2_H01,30.36159167,113.1066882,1034,41562,29.614,12.921,219.638,30.105,4.365,4.1,33.5,34.4,15.6,6.67
XT2_H16,30.36159167,113.1068442,1049,41562,23.971,9.306,64.47,4.979,4.088,2.859,37.7,34.8,16.8,6.8
XT2_H36,30.36159167,113.1070523,1069,41562,23.115,7.839,115.218,14.598,4.837,0.754,37.7,35.1,17.3,6.77
XT2_H06,30.36159167,113.1067402,1039,41562,28.083,10.546,104.056,12.267,4.973,4.765,34.9,34.5,17.9,6.75
XT2_H76,30.36159167,113.1074684,1109,41562,31.301,8.431,179.48,15.347,5.595,1.115,31,34.7,17,6.88
XT2_V0,30.36159167,113.1066778,1033,41562,24.545,10.555,200.921,26.563,3.663,4.382,31,31,15.6,6.64
XT2_V01,30.36160068,113.1066778,1033,41563,25.379,9.758,184.898,25.111,3.769,5.34,34.9,32.9,15.8,6.7
XT2_V16,30.36173581,113.1066778,1033,41578,28.73,8.185,136.411,10.788,4.211,0.505,37.5,34,16.4,6.62
XT2_V36,30.36191599,113.1066778,1033,41598,28.374,7.241,129.408,15.674,4.409,5.361,37.5,34.6,18.4,6.7
XT2_V06,30.36164572,113.1066778,1033,41568,26.78,10.817,189.51,22.104,4.217,1.954,36.9,34.3,16.6,6.71
XT2_V76,30.36227635,113.1066778,1033,41638,26.606,10.134,181.615,23.838,5.26,6.57,34.1,34.5,16.4,6.44
XT3_H01,30.39248333,113.0993548,326,44987,27.235,7.519,116.503,6.824,6.146,1.295,37.7,39.2,16.5,6.61
XT3_H36,30.39248333,113.0997189,361,44987,34.273,10.191,259.961,23.093,5.501,2.797,40.5,39.3,16.4,6.45
XT3_H06,30.39248333,113.0994068,331,44987,24.23,7.437,166.787,14.044,5.896,1.226,39.1,39.2,17.4,6.48
XT3_H76,30.39248333,113.100135,401,44987,24.483,7.967,211.028,9.535,4.558,0.396,38.6,39.3,16.7,6.54
XT3_V0,30.39248333,113.0993444,325,44987,33.967,9.438,201.169,20.377,5.888,0.489,39.4,39.4,16.6,6.68
XT3_V01,30.39249234,113.0993444,325,44988,32.282,9.045,200.016,19.927,6.008,0.792,37.5,38.4,15.3,6.65
XT3_V16,30.39262747,113.0993444,325,45003,35.611,9.751,233.97,25.915,6.265,1.319,41.4,39.1,17.5,6.48
XT3_V36,30.39280765,113.0993444,325,45023,33.182,9.068,269.557,28.33,7.991,0.832,39.4,39.2,17.2,6.35
XT3_V06,30.39253738,113.0993444,325,44993,34.885,9.591,297.208,28.831,5.622,0.654,40.5,39.1,15.5,6.6
XT3_V76,30.39316801,113.0993444,325,45063,34.434,9.431,190.946,17.956,5.527,0.633,40.8,39.4,17.5,6.48
